Crop,Crop_Year,Season,State,Area,Annual_Rainfall,Fertilizer,Pesticide,Yield,Production,Fertilizer_per_ha,Rainfall_norm
Groundnut,2007,Whole Year,Rajasthan,238.1456831177118,1040.5507846495757,58591.980281138734,3997.3992535272505,5623.463709147026,1339.20360650248,246.0341901397289,0.6937005230997171
Cotton,2019,Whole Year,Madhya Pradesh,802.5219567877148,1154.26527890026,107473.63537910636,7031.966764350366,4686.050766527745,3760.6586307604166,133.9198690703681,0.7695101859335066
Sugarcane,2019,Whole Year,Gujarat,90.23637732311752,870.4469173971115,15557.371134692201,1536.5162680477124,4939.9679476864785,445.76481169154357,172.4068673433611,0.5802979449314076
Groundnut,2019,Rabi,Andhra Pradesh,312.5256111861317,1272.6920400907306,206899.50139349332,8131.868865610849,10357.808295252818,3237.080368022672,662.0241477434297,0.8484613600604871
Maize,2008,Whole Year,Uttar Pradesh,480.77913967760014,1288.639471311582,92719.89438780086,3265.6173737963713,8800.5190444888,4231.10597492566,192.8534055158399,0.8590929808743879
Potato,2011,Kharif,Uttar Pradesh,204.7896562771469,1052.9871046714975,52914.09300139824,4575.455514173568,5838.658961824951,1195.696961911615,258.382644725905,0.7019914031143316
Sugarcane,2017,Whole Year,Bihar,29.792078545515377,1113.0266877523115,36048.855642542716,2197.202749092702,8270.22028954607,246.38705245487145,1210.0147892490427,0.7420177918348744
Sugarcane,2007,Kharif,Tamil Nadu,822.281525375927,1203.3454540773469,78072.41410493449,7104.577664848806,3593.713148201912,2955.043929266993,94.94608804355867,0.8022303027182313
Groundnut,2020,Whole Year,Rajasthan,599.7839328429892,812.7406375189744,851242.3085041015,38867.74282843336,4687.616269267182,2811.556921639851,1419.2482690711536,0.5418270916793163
Wheat,2019,Whole Year,Bihar,321.9924364650699,1268.371650456692,142340.20633368674,7471.037184979388,5205.5388155552355,1676.1441263341242,442.0607138985638,0.8455811003044612
Maize,2013,Kharif,Andhra Pradesh,256.8254011518832,1401.0709727654983,36063.41407212943,3954.9940166222236,3468.5305399848653,890.8067473391711,140.41996590049905,0.9340473151769988
Groundnut,2012,Whole Year,Karnataka,28.855197148857386,1709.189747927168,11041.380483390032,686.3946242619916,8560.316524825128,247.0096209804508,382.6478961980425,1.1394598319514453
Maize,2008,Whole Year,Maharashtra,619.9184660795338,1193.2676025263836,79615.60730855643,6297.224084459829,4566.214186138827,2830.6804940617885,128.42915909903218,0.7955117350175891
Maize,2017,Whole Year,Andhra Pradesh,1456.3305833573154,799.9638503207929,41635.26054880672,1276.8793057795535,1385.4840565085185,2017.7228042473105,28.589154842044113,0.5333092335471953
Potato,2005,Rabi,Andhra Pradesh,64.29651144992418,1003.6782336844054,7540.773981920252,285.6665165263542,2207.2847153883426,141.9207069762092,117.28123053446228,0.6691188224562703
Sugarcane,2005,Kharif,Madhya Pradesh,1229.081458312085,535.666175736649,46511.467988886725,1097.148454810561,611.7973041447472,751.948722769628,37.84246168090566,0.3571107838244327
Cotton,2005,Whole Year,Madhya Pradesh,951.2237900357435,1377.3086620209872,203117.56755272744,12682.068053595158,3330.1947320379404,3167.760454566197,213.53289276448294,0.9182057746806581
Potato,2005,Kharif,Madhya Pradesh,62.06396904759497,200.0,14134.859414365039,1680.5217118463413,3349.4260133190687,207.87867241784411,227.74662386682755,0.13333333333333333
Potato,2020,Kharif,Madhya Pradesh,152.47912185048287,1511.0948356279957,12955.452728643351,1391.2512865735273,4432.05365942124,675.7956499827698,84.96542065180003,1.0073965570853305
Maize,2012,Kharif,Tamil Nadu,45.85456824315979,1565.395919564503,5672.163454324108,472.43955081062904,4529.951005946511,207.71894754034463,123.69898292893065,1.0435972797096686
Soybean,2007,Whole Year,Rajasthan,226.293764273061,200.0,38678.56097052626,4104.168535978838,2763.3622339499075,625.3316419705396,170.92190363608145,0.13333333333333333
Sugarcane,2019,Whole Year,Uttar Pradesh,419.04615748469917,1623.876446948159,157916.19265479085,12541.220107828047,8375.280910505255,3509.629283402179,376.8467741183307,1.0825842979654392
Wheat,2010,Kharif,Rajasthan,50.17105379577022,1512.2787763828583,5300.77189263178,301.49140942788455,7114.956685797255,356.96487463770904,105.65398754049438,1.0081858509219055
